,,,,,"tom60229#3684","ahqRoger#4889","kin0531#3693","blitzchung#3549","Steelo#31585","Surrender#31359","GundamFlame#1892","livevil#3366","Mage#1642","Piyobot#1837","ABS0L#3333","oyatsu#11568","Nickname#3924","DacGyong#3539","Mogumi#1641","okasinnsuke#1294","Srouc#1630","Zyx#3505","Nickname#4797","Nickname#3550","Nickname#3759","Nickname#3999","XiaoDai#3807","KiRu#31619","DacMalza#3886","patoyao#1245","Nickname#31486","Ohdollar#3512","Nickname#31169","MATSURI#1423","Disdai#1645","fire#3966","Garchomp#1185","js5#3234","Hearthstoner#11283","Tansoku#1289","nukesaku#1872","aqua#1699","NAGON#1609","horo#1775","matuko#1900","trahison#11389","Asura#41638","Heaven#12774","ahqShaxy#4711","MegaGliscor#1122","strikeright#3969","cocosasa#3734"
3,"Tar Creeper",26,27.1%,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,1,,2,2,2,1,2,2,2,2,,,,,1,1,,1,,2
3,"Vicious Fledgling",69,71.9%,,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,,,,,1,,,,1,,2,1,1,2
3,"Void Ripper",4,4.2%,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,2,,,
4,"Saronite Chain Gang",96,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Spellbreaker",94,97.9%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Bittertide Hydra",2,4.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
5,"Cobalt Scalebane",43,44.8%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,2,1,1,1,1,,1,1,1,,,,,1,2,2,2,,
5,"Druid of the Claw",50,52.1%,,2,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,2,2,1,1,1,2,2,2,2,1,1,,,2,
5,"Faceless Manipulator",1,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,"Fungalmancer",94,97.9%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2
5,"Harrison Jones",1,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,"Leeroy Jenkins",16,33.3%,,,,,,1,1,1,1,1,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,1
6,"Mossy Horror",2,4.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
6,"Skulking Geist",1,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
6,"Spiteful Summoner",96,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,"Malfurion the Pestilent",48,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Grand Archivist",49,51.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
8,"The Lich King",44,91.7%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1
10,"Ultimate Infestation",96,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
