,,,,,"Conrad","Monsanto","Mansion","Atlas","laxlie","Floofys","IMakeUSadFace","Sintherius","Reaper06","Tbanhbao","OHTEE#1720","Willscarlet","Kazghar","Sheazus","Jake","Bearpilot","pikapwner#1850","Pokerox","TheChronic","korextron#1532","StrifeCro","xPowerful1x","LosDominator","Philtor","binhmighty","Houdinii","DoubleDos #1434","Mrmajiin","CapnCrunch#1396","Crest Memepaste","Stauros","TAOxEagle","rosty#1208","Sneakyche#1872","masongos#1906","Snow#15541","Alliestrasza","Nostam","Ryder","jakaso27#1154","Justsaiyan","Cydonia","Bubzee","BloodHunter#1290","Breezy","X115","MrJPickles","kap9","Frodan"
4,"Shroom Brewer",89,90.8%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,2
4,"Spellbreaker",73,74.5%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,,2,2
4,"Twilight Drake",98,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Argent Commander",9,9.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,2,,,,,,2,,
6,"Dread Infernal",76,77.6%,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,,,
6,"Genn Greymane",49,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Mossy Horror",4,4.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
6,"Rin, the First Disciple",25,51.0%,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,,,1,1,1,,1,,
6,"Siphon Soul",22,22.4%,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,2,1,1,2,2,1,1,,1,1,1,1,,,,,1,1,,,1,1,,
6,"Skulking Geist",2,4.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
8,"Bonemare",1,2.0%,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Marin the Fox",1,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
8,"The Lich King",46,93.9%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Twisting Nether",5,10.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,,
10,"Bloodreaver Gul'dan",49,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,"Mountain Giant",98,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
