teamName,inGameName,Deck Code 1,Deck Code 2,Deck Code 3,Deck Code 4
Xixo#2659,Xixo#2659,AAECAa0GBJG8AsrLApziAtDnAg0IqAWNCPIMursC8LsCysMCmcgCps4C+9MCy+YC/OoC1+sCAA==,AAECAQcGyAOOBdQFkbwCzM0CnOICDBywApEDqAXuBoKtAoKwAoiwApvLAvvTAs/jAtfrAgA=,AAECAaIHBLICzQPtBZG8Ag20Ab0EmwWIB6QH3QiGCZK2AvW7AoHCApvIAtzRAtvjAgA=,AAECAf0GBO0Fl9MCneIC2+kCDZME9wS2B+EHxAjexALnywLy0AL40AKI0gKL4QL85QLo5wIA
Dethelor#2344,Dethelor#2344,AAECAf0GBooBxAjMCOCsAqDOApfTAgzbBrYHm8IC3sQC38QC58sCrs0C8tAC+NACiNIC/OUC6OcCAA==,AAECAa0GHgntAfsBlwKcAqEE5QTtBaQH9gelCdIK0wrWCtcK8gz7DJK0AoO7ArW7Ati7Auq/AtHBAtLBAtjBAtnBAsrDAvDPAujQApDTAgAA,AAECAaIHBrICrwT1uwKRvALKywKc4gIMtAHtAqgF1AXdCJK2AoHCAuvCApvLAqbOAvvTAtvjAgA=,AAECAZICBK6rAuC7ApS9ApnTAg1AX8QG5Ai0uwLLvALdvgKgzQKHzgKU0gKY0gKe0gKE5gIA
Theude#2740,Theude#2740,AAECAZICApG8AoPUAg73A+YF2QflB8GrArazAs27AobBAuvCAuLKApvNApHQAvvTAovlAgA=,AAECAf0EBsABwwGrBL8Io7YCotMCDHG7ApUD5gSWBewF17YC67oCh70CwcECmMQCj9MCAA==,AAECAaIHBLICrwSRvAKc4gINtAHtAqgF1AXdCJK2AoHCAuvCApvLAsrLAqbOAvvTAtvjAgA=,AAECAZ8FBK8E8gWRvAK5wQINpwXUBfUFrwfZB7EI2a4CuMcC48sClc4C+NIC+9MC1uUCAA==
Crane333#2314,Crane333#2314,AAECAa0GHgntAZcCnAKhBOUE7QX2B6UJ0grTCtYK1wryDPsMkrQCg7sCtbsC2LsC6r8C0cEC0sEC2MEC2cEC5MICysMCvsgC8M8C6NACkNMCAAA=,AAECAZICBMQGrqsClL0CmdMCDUBf5Ai0uwLLvALdvgKgzQKHzgKU0gKY0gKe0gLb0wKE5gIA,AAECAaIHCLICrwSStgL1uwKRvALKwwLKywKc4gILtAHtAqgF1AXdCIHCAuvCApvLAqbOAvvTAtvjAgA=,AAECAZ8FBqcF2QeRvAK5wQLkwgKIxwIM2wOoBacIsQjTqgLTvAKdwgKxwgLjywL40gL70wLW5QIA
Wampie#2551,Wampie#2551,"### Custom Rogue # Class: Rogue # Format: Standard # Year of the Mammoth # # 2x (0) Backstab # 2x (0) Shadowstep # 2x (1) Fire Fly # 1x (1) Patches the Pirate # 2x (1) Southsea Deckhand # 2x (1) Swashburglar # 1x (2) Prince Keleseth # 1x (3) Edwin VanCleef # 2x (3) SI:7 Agent # 1x (3) Sonya Shadowdancer # 2x (3) Southsea Captain # 2x (4) Elven Minstrel # 2x (4) Saronite Chain Gang # 1x (5) Cobalt Scalebane # 1x (5) Leeroy Jenkins # 2x (5) Vilespine Slayer # 2x (7) Bonemare # 2x (7) Corridor Creeper #  AAECAaIHBrICrwSRvALKywLP4QKc4gIMtAHtAqgF1AXdCJK2AoHCAuvCApvLAqbOAvvTAtvjAgA= #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone","### Custom Priest # Class: Priest # Format: Standard # Year of the Mammoth # # 1x (0) Circle of Healing # 1x (0) Silence # 1x (1) Binding Heal # 1x (1) Holy Smite # 1x (1) Northshire Cleric # 1x (1) Potion of Madness # 1x (1) Power Word: Shield # 1x (2) Bloodmage Thalnos # 1x (2) Loot Hoarder # 1x (2) Mind Blast # 1x (2) Novice Engineer # 1x (2) Radiant Elemental # 1x (2) Shadow Visions # 1x (2) Shadow Word: Pain # 1x (2) Spirit Lash # 1x (2) Wild Pyromancer # 1x (3) Acolyte of Pain # 1x (3) Curious Glimmerroot # 1x (3) Kabal Talonpriest # 1x (3) Shadow Word: Death # 1x (4) Auchenai Soulpriest # 1x (4) Gnomish Inventor # 1x (4) Kazakus # 1x (4) Priest of the Feast # 1x (5) Raza the Chained # 1x (6) Dragonfire Potion # 1x (6) Gadgetzan Auctioneer # 1x (7) Prophet Velen # 1x (7) Psychic Scream # 1x (8) Shadowreaper Anduin #  AAECAa0GHgntAfsBlwKcArQCoQTlBO0FpAf2B6UJ0grTCtcK8gz7DJK0AoO7ArW7Ati7AvC7Auq/AtHBAtLBAtjBAtnBAvDPAujQApDTAgAA #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone","### Custom Druid2 # Class: Druid # Format: Standard # Year of the Mammoth # # 2x (1) Bloodsail Corsair # 2x (1) Dire Mole # 2x (1) Enchanted Raven # 2x (1) Fire Fly # 2x (1) Mark of the Lotus # 1x (1) Patches the Pirate # 2x (2) Druid of the Swarm # 2x (2) Golakka Crawler # 2x (2) Mark of Y'Shaarj # 2x (2) Power of the Wild # 2x (3) Crypt Lord # 2x (3) Savage Roar # 2x (3) Southsea Captain # 1x (5) Cobalt Scalebane # 2x (5) Living Mana # 2x (7) Corridor Creeper #  AAECAZICApG8AsrLAg73A6gF5gXlB8GrArazAs27AobBAuTCAuvCApvNApHQAvvTAovlAgA= #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone","### Custom Warlock2 # Class: Warlock # Format: Standard # Year of the Mammoth # # 2x (1) Dark Pact # 2x (1) Kobold Librarian # 2x (1) Mistress of Mixtures # 2x (1) Mortal Coil # 1x (2) Bloodmage Thalnos # 2x (2) Defile # 2x (2) Plated Beetle # 2x (3) Tar Creeper # 2x (4) Hellfire # 2x (4) Lesser Amethyst Spellstone # 2x (5) Carnivorous Cube # 2x (5) Doomguard # 2x (5) Possessed Lackey # 1x (5) Skull of the Man'ari # 2x (9) Voidlord # 1x (10) Bloodreaver Gul'dan # 1x (10) N'Zoth, the Corruptor #  AAECAcn1AgTtBeCsApfTAtvpAg33BLYHxAjKwwLexALnywLy0AL40AKI0gKL4QL85QLq5gLo5wIA #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone"
vcT#1499,vcT#1499,AAECAf0EBE3FBNDBAsPqAg2KAcAByQOrBMsEkqwCgbICgrQCwcECmMQC3s0C1+ECluQCAA==,AAECAf0GCu0F8gXECMwI4KwCm8ICysMCoM4Cl9MC2OcCCooB2wa2B97EAt/EAufLAvLQAojSAvzlAujnAgA=,AAECAZICBP4BrqsClL0CmdMCDUBfhQjkCLS7As27Asu8At2+AqDNAofOApjSAp7SAoTmAgA=,AAECAa0GHgntAfsBlwKcAqEE5QTtBYoHpAf2B6UJ0grTCtcK8gz7DJK0AoO7ArW7Are7Ati7Auq/AtHBAtLBAtjBAtnBAvDPAujQApDTAgAA
Nalguidan#1733,Nalguidan#1733,#  AAECAcn1AgbMCOCsAsrDAt/EAqDOApfTAgzbBrYHxAibwgLexALnywKuzQLy0AL40AKI0gL85QLo5wIA #,#  AAECAZ/HAh4J+wGXApwCoQTFBOUE7QX2B40IpQnTCtcK8gz7DJK0AoK1AoO7Are7Arq7Ati7AvC7Auq/AtHBAtnBAsnHAvDPAujQApDTAsvmAgAA #  #,#  AAECAaIHCrICrwSStgL1uwKRvALKwwKbywLKywLP4QKc4gIKtAHtAqgF1AXdCIHCAuvCAqbOAvvTAtvjAgA= #  #,#  AAECAZICBNkHkbwCr8ICysMCDfcDqAXmBeUHwasCtrMCzbsChsEC5MIC68ICm80C+9MCi+UCAA== #  #
Torlk#2378,Torlk#2378,AAECAaToAgSvBK8HkbwCucECDacF1AX1BdkHsQjZrgK4xwLKywLjywKVzgL40gL70wLW5QIA,AAECAZ/HAgYIkbwC4b8CysMCnOIC0OcCDKgFjQjyDLq7AvC7ApnIAsrLAqbOAvvTAsvmAvzqAtfrAgA=,AAECAf0GBJG8ApfBApfTApziAg0w9wSoBc4Hwgi0rAK8tgLrwgKbywL3zQKmzgLy0AL70wIA,AAECAZICApG8AuvCAg73A+YF2QflB8GrArazAs27AobBAuTCAsrLApvNApHQAvvTAovlAgA=
Tarei#11497,Tarei#11497,AAECAf0EBO0EuAjQwQK50QINigHAAZwCyQOrBMsE5gT4B5KsAoGyAsHBApjEAtrFAgA=,AAECAZICBK6rAqG3ApS9ApnTAg1AX+QItLsCy7wC3b4CoM0Ch84ClNICmNICntIC29MChOYCAA==,AAECAa0GHgn7AZcCnAKhBMUE5QTtBY0IpQnTCtcK8gz7DJK0AoK1AoO7ArW7Are7Arq7Ati7Auq/AtHBAtjBAtnBAsnHAvDPAujQApDTAsvmAgAA,AAECAaIHBJG8AobCAs/hAsPqAg3EAZwC7QKfA80DiAXUBYYJ+L0Cl8EC/MECx9MC2+MCAA==
cursed#21642,cursed#21642,"### Custom Rogue # Class: Rogue # Format: Standard # Year of the Mammoth # # 2x (0) Backstab # 2x (0) Shadowstep # 2x (1) Fire Fly # 1x (1) Patches the Pirate # 2x (1) Southsea Deckhand # 2x (1) Swashburglar # 1x (2) Prince Keleseth # 1x (3) Edwin VanCleef # 2x (3) SI:7 Agent # 2x (3) Southsea Captain # 2x (4) Elven Minstrel # 2x (4) Saronite Chain Gang # 2x (5) Cobalt Scalebane # 1x (5) Leeroy Jenkins # 2x (5) Vilespine Slayer # 2x (7) Bonemare # 2x (7) Corridor Creeper #  AAECAaIHBLICrwSRvAKc4gINtAHtAqgF1AXdCJK2AoHCAuvCApvLAsrLAqbOAvvTAtvjAgA= #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone","### Custom Druid2 # Class: Druid # Format: Standard # Year of the Mammoth # # 2x (1) Bloodsail Corsair # 2x (1) Dire Mole # 2x (1) Enchanted Raven # 2x (1) Fire Fly # 2x (1) Mark of the Lotus # 1x (1) Patches the Pirate # 2x (2) Dire Wolf Alpha # 2x (2) Druid of the Swarm # 2x (2) Golakka Crawler # 2x (2) Mark of Y'Shaarj # 2x (2) Power of the Wild # 2x (3) Crypt Lord # 2x (3) Savage Roar # 1x (4) Swipe # 2x (5) Living Mana # 2x (7) Corridor Creeper #  AAECAZICAkCRvAIO9wPmBdkH5QfBqwK2swLNuwKGwQLkwgLrwgKbzQKR0AL70wKL5QIA #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone","### Custom Priest2 # Class: Priest # Format: Standard # Year of the Mammoth # # 1x (0) Circle of Healing # 1x (0) Silence # 1x (1) Binding Heal # 1x (1) Holy Smite # 1x (1) Northshire Cleric # 1x (1) Potion of Madness # 1x (1) Power Word: Shield # 1x (2) Golakka Crawler # 1x (2) Loot Hoarder # 1x (2) Mind Blast # 1x (2) Novice Engineer # 1x (2) Radiant Elemental # 1x (2) Shadow Visions # 1x (2) Shadow Word: Pain # 1x (2) Spirit Lash # 1x (2) Wild Pyromancer # 1x (3) Acolyte of Pain # 1x (3) Curious Glimmerroot # 1x (3) Kabal Talonpriest # 1x (3) Shadow Word: Death # 1x (3) Tar Creeper # 1x (4) Auchenai Soulpriest # 1x (4) Kazakus # 1x (4) Priest of the Feast # 1x (5) Raza the Chained # 1x (6) Dragonfire Potion # 1x (6) Gadgetzan Auctioneer # 1x (7) Prophet Velen # 1x (7) Psychic Scream # 1x (8) Shadowreaper Anduin #  AAECAa0GHgntAfsBlwKcAqEE5QSkB/YHpQnSCtMK1wryDPsMkrQCg7sCtbsC2LsC8LsC6r8C0cEC0sEC2MEC2cEC5MICysMC8M8C6NACkNMCAAA= #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone","### Custom Hunter # Class: Hunter # Format: Standard # Year of the Mammoth # # 2x (1) Alleycat # 2x (1) Candleshot # 2x (1) Dire Mole # 1x (1) Patches the Pirate # 2x (1) Southsea Deckhand # 2x (2) Crackling Razormaw # 2x (2) Golakka Crawler # 2x (3) Animal Companion # 2x (3) Eaglehorn Bow # 2x (3) Kill Command # 2x (3) Southsea Captain # 2x (4) Houndmaster # 1x (4) Spellbreaker # 1x (5) Bittertide Hydra # 1x (5) Leeroy Jenkins # 2x (5) Tundra Rhino # 2x (7) Corridor Creeper #  AAECAR8ErwTyBZG8Aq/CAg2oArUDqAW7BdQF6wf+DOq7AuTCAo7DAvvTAuHjAovlAgA= #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone"
impact#1923,impact#1923,AAECAf0GBpME8gXJwgKX0wKd4gLb6QIM9wS2B+EHxAjexALnywLy0AL40AKI0gKL4QL85QLo5wIA,AAECAa0GHgntAfsBlwKcAqEExQTlBO0FpAf2B6UJ0grTCvIM+wyStAKCtQKDuwK1uwK6uwLYuwLqvwLRwQLSwQLYwQLwzwLo0AKQ0wLL5gIAAA==,AAECAZICBK6rApS9ApTSApnTAg1AX8QG5Ai0uwLLvALdvgKgzQKHzgKY0gKe0gLb0wKE5gIA,AAECAf0EBsUE7AehtwKgzgKb0wKj6wIMwAHJA6O2Ate2AsHBAsrDAt/EApbHAtvTAtXhAtfhApbkAgA=
Un33d#2542,Un33d#2542,AAECAZ/HAh4J+wGXAqEE5QTtBfYHjQilCdMK1wryDPsMkrQCgrUCg7sCtbsCursC2LsC6r8C0cEC0sEC2MEC2cEC5MICysMC8M8C6NACkNMCy+YCAAA= #,AAECAf0GCO0F8gXMCOCsAqDOAvjQApfTApfoAgvbBrYHxAibwgLexALnywLy0AKI0gL85QLq5gLo5wIA #,AAECAYO6AgayAq8E8gWRvALKwwKc4gIMtAHtAqgF1AXdCJK2AoHCAuvCApvLAqbOAvvTAtvjAgA= #,AAECAZICApG8AuLKAg73A6gF5gXlB8GrArazAs27AobBAuTCAuvCApvNApHQAvvTAovlAgA= #
Dylanvgu#2311,Dylanvgu#2311,AAECAZICApG8Aq/CAg73A6gF5gXlB8GrAs27AobBAuTCAuvCAuLKApvNApHQAvvTAovlAgA=,AAECAa0GHgntAfsBlwKhBOUE7QWkB/YHpQnSCtMK1wryDPsMkrQCg7sCtbsC2LsC6r8C0cEC0sEC2MEC2cEC5MICysMCvsgC8M8C6NACkNMCAAA=,AAECAYO6AgayAq8EkbwCyssCws4CnOICDLQB7QKoBdQF3QiStgKBwgLrwgKbywKmzgL70wLb4wIA,AAECAcn1AgzyBYoHxAjMCOCsApvCAsrDApvLAq7NAqDOAvjQApfTAgnbBrYH3sQC38QC58sC8tACiNIC/OUC6OcCAA==
TwoBiers#2183,TwoBiers#2183,AAECAaIHBLICrwSRvAKc4gINtAHtAqgF1AXdCJK2AoHCAuvCAsrDApvLAqbOAvvTAtvjAgA=,AAECAZICBKgF2QeRvAKvwgIN9wPmBeUHwasCtrMCzbsChsEC5MIC68ICm80CkdAC+9MCi+UCAA==,AAECAZ/HAgLqvwK+yAIO+ALlBI0I0QryDIK1ArW7Arq7AvC7AtHBAtjBAr/lAsvmAvzqAgA=,AAECAZ8FBNQFkbwC07wCucECDdsDpwWoBacIsQjTqgKdwgKxwgLkwgLjywL40gL70wLW5QIA
Kufdon#2933,Kufdon#2933,AAECAZ/HAh4J7QH7AZcCnAK0AqEE5QTtBaQH9gelCdIK0wrXCvIM+wyStAKDuwK1uwLYuwLwuwLqvwLRwQLSwQLYwQLZwQLwzwLo0AKQ0wIAAA==,AAECAYO6AgayAq8EkbwCyssCz+ECnOICDLQB7QKoBdQF3QiStgKBwgLrwgKbywKmzgL70wLb4wIA,AAECAf0GBO0F4KwCl9MC2+kCDfcEtgfECMrDAt7EAufLAvLQAvjQAojSAovhAvzlAurmAujnAgA=,AAECAZICApG8AsrLAg73A6gF5gXlB8GrArazAs27AobBAuTCAuvCApvNApHQAvvTAovlAgA=
