,Warrior,Priest,Shaman,Warlock,Paladin,Rogue,Mage,Druid,Hunter,
Denmark,AAECAQcKkQPeBfkM08UCz8cCze8CkvgCnvgC4vgCoIADCkuiAqIE/webwgKixwLK5wKD+wKO+wKe+wIA,AAECAa0GBpACxQTVCtYKkNMC4vgCDKEE5QT2B40I8gz7DNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICPPCAtPFAsLOAuvPApziAqfuAu/3Apn7Agv5A/UE3gX+BevCAsrDApvLAvvTAtHhAt/pAuL4AgA=,AAECAf0GBvsHoM4Cws4Cl9MCy+wCzfQCDIoB8gX7BooHtgfhB40I58sC8dAC/dACiNIC2OUCAA==,AAECAZ8FBPkK68IC/eoCnvgCDUanBfMF9QWDxwK4xwLjywL70wLR4QLW5QK15gLi+ALW/gIA,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0EBtAC08UCoM4Cws4Cm9MC8tMCDE2KAckD7AebwgKWxwLV4QLX4QKW5AK+7AK38QLi+AIA,AAECAZICBrQDxQTCzgKZ0wKb6AL1/AIMQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gLi+AIA,AAECAR8G+AiG0wKc4gK26gLL7AKA8wIMjQGXCO0Jq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA==, 
Finland,AAECAQcGkQP5DNPFApL4Ap74AqCAAwxLogKiBN4F/webwgLK5wLi+AKD+wKO+wKe+wKz/AIA,AAECAa0GBsUEigfVCvsMkNMC4vgCDJACoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICiD+BYoHwAexCPPCAqbOAqfuAp7wAs30Agq9AdMB2QfwB5HBApvLApTvArDwAvbwAo/7AgA=,AAECAf0GBK8EnOIC7/ECj4IDDTCEAc4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAvT3AtP4AgA=,AAECAZ8FAuvCAp74Ag5G8wX5CoPHArjHAuPLAvvTAtHhAtblArXmAv3qAuL4Avb9Atb+AgA=,AAECAaIHBrICrwSfwgL96gKe+ALn+gIMjALLA9QF8wX1Bd0IgcIC68IC0eECi+UCpu8C4vgCAA==,AAECAf0ECJwC0ALKwwLTxQKbywKgzgLCzgKb0wILTYoByQPsB5vCApbHAtXhAtfhApbkAqbwAuL4AgA=,AAECAZICCLQDxQTeBcLOApnTApvoAr/yAvX8AgtAX+kB0wPkCKDNAofOApjSAp7SAtvTAuL4AgA=,AAECAR8I+AjtCdPNAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA==,
France,AAECAQcK3gWqBvkM08UCz8cCmu4CkvgCnvgCjvsCoIADCkuiAqIE/webwgLKwwKixwLK5wKD+wKe+wIA,AAECAa0GBMUE1gqgzgKQ0wINkAKhBOUE9geNCPIM+wzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICP8F08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAfqUAwr7BooH+wf4DKDOAsLOApfTAsvsAs30AoCKAwqKAfIFtgfhB40I58sC8dAC/dACiNIC2OUCAA==,AAECAZ8FBK8Elc4C/eoCnvgCDUbzBfUF+QrrwgKDxwK4xwLjywL70wLR4QLW5QK15gLi+AIA,AAECAaIHBK8E/eoCnvgC5/oCDYwCywPUBfMF9QXdCIHCAuvCAsrDAtHhAovlAqbvAuL4AgA=,AAECAf0EBO0FotMC7vYCvfoCDbsClQOrBLQE5gSWBZjEAvvsApLvAqP9ApX/Arn/Au+AAwA=,AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA,AAECAR8I+AiG0wKc4gK26gLL7ALc7gLy8QKA8wILjQGXCO0Jq8IC2MICm8sCnM0C3dICi+EC4eMCufgCAA==,
Germany,AAECAQcMogL7DNPFAqLHAs/HArrsApruAs3vAp3wApL4Ap74AqCAAwlLogT/B5vCAsrnAoP7Ao77Ap77ArP8AgA=,AAECAa0GDAiQAsUE5QTVCvsM08UCyccCoM4CkNMCju4C4vgCCaEE9geNCPIM0cEC6NACy+YC/OoCvfMCAA==,AAECAaoIDoEE3gWNCPsM08UCnOICq+cCw+oCp+4CnvAC7/EC7/cC6voCmfsCCPUE/gX/BbIGl8ECx8ECm8sC8+cCAA==,AAECAf0GBK8EnOIC/eoCj4IDDTCEAc4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAvT3AtP4AgA=,AAECAZ8FCK8EpwXzBfUFlc4C/eoCnvgC4vgCC0b5CuvCAoPHArjHAuPLAvvTAtHhAtblArXmAtb+AgA=,AAECAaIHBLICrwTL7ALi+AINtAGMAs0D9gSbBYgHhgmBwgLrwgLc0QLb4wKm7wL1gAMA,AAECAf0EBAxxotMC7vYCDbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wClf8Cuf8CAA==,AAECAZICCLQD3gWZ0wKb6AL96wKa7gLk+wL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wLi+AIA,AAECAR8K+wX4CO0J08UC3dIChtMCnOICtuoCy+wCgPMCCo0BlwirwgLYwgKczQKL4QLh4wLy8QK5+ALi+AIA,
Greece,AAECAQcIkwT5DM/HApruAs3vApL4Ap74AqCAAwtLogKiBP8Hm8IC08UCoscCyucCg/sCjvsCnvsCAA==,AAECAa0GBMUE1QqQ0wLj9wINkAKhBOUE9geNCPIM+wzRwQLJxwLo0ALL5gL86gLi+AIA,AAECAaoICPPCAtPFAsLOAuvPApziAqfuAu/3Apn7Agv5A/UE3gX+BevCAsrDApvLAvvTAtHhAt/pAuL4AgA=,AAECAf0GBK8EnOIC7/ECj4IDDTCEAc4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAvT3AtP4AgA=,AAECAZ8FAq8EnvgCDkbzBfUF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gLi+AIA,AAECAaIHBK8E/eoCnvgC5/oCDYwCywPUBfMF9QXdCIHCAp/CAuvCAtHhAovlAqbvAuL4AgA=,AAECAf0EBAyrBKLTAu72Ag1xuwKVA7QE5gSWBewFwcECmMQCj9MC++wClf8Cuf8CAA==,AAECAZICCFa0A8UEmdMCl+gCm+gCv/IC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MC4vgCAA==,AAECAR8I+AjtCdPNAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA==,
Hong Kong,AAECAQcI+wzTwwKbywKf0wLx0wLP5wKa7gLl7wILS5ADkQbiBv8Hm8ICvsMCysMCzM0CquwCm/MCAA==,AAECAa0GBJACxQTWCpDTAg2hBOUE9geNCKUJ8gz7DNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAfe5AgreBf8F08UCnOICq+cCw+oCp+4CnvAC7/cCnv0CCoEE9QT+BbIG+wyXwQLHwQKbywLz5wLv8QIA,AAECAf0ECJwC0ALKwwLTxQKbywKgzgLCzgKb0wILTYoByQPsB5vCApbHAtXhAtfhApbkAqbwAuL4AgA=,AAECAaToAgSvBOvCAp74AuL4Ag1G8wX5CoPHArjHAuPLAvvTAtHhAtblArXmAv3qAvb9Atb+AgA=,AAECAYO6AgSvBP3qAp74Auf6Ag2MAssD1AXzBfUF3QiBwgKfwgLrwgLR4QKL5QKm7wLi+AIA,AAECAf0EBHG/wQKi0wLu9gINuwKVA6sEtATmBJYF7AXBwQKYxAKP0wL77AKV/wK5/wIA,AAECAZICBP4BmdMChOYC4vgCDUBf/QL3A+YFhQjkCKDNAofOApjSAp7SAtvTAtfvAgA=,AAECAR8I+AjtCdPFAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA==,
Hungary,AAECAQcKkwTeBfkM08UCz8cCmu4Cze8CkvgCnvgCoIADCkuiAqIE/webwgKixwLK5wKD+wKO+wKe+wIA,AAECAa0GCJACxQSKB9UK1gr7DKDOApDTAguhBOUE9geNCPIM0cECyccC6NACy+YC/OoCvfMCAA==,AAECAaoICP8F08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCIoH+wf4DKDOAsLOApfTAsvsAs30AguKAfIF+wa2B+EHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBKcF+Qr96gKe+AINRvMF68ICg8cCuMcC48sC+9MC0eEC1uUCteYC4vgC9v0C1v4CAA==,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0EBAxxotMC7vYCDbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wClf8Cuf8CAA==,AAECAZICBrQDxQTCzgKZ0wKb6AL1/AIMQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gLi+AIA,AAECAR8I+AjtCdPFAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICm8sCnM0C3dICi+EC4eMC8vECufgCAA==,
Indonesia,AAECAQcIqgaQB9PDAqLHAs3vAuXvAp74AqCAAwtLogT/B/sMm8ICysMCyucCquwCuuwCnfACxfMCAA==,AAECAa0GCJACxQSKB9UK+wyQ0wLj9wLi+AILoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICPYH08UCq+cC4OoCp+4CnvAC7/cCmfsCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCIoH+wf4DMLOApfTAurmAsvsAs30AguKAfIF+wa2B+EHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBq8E8QXzBYPHAp74AuL4AgxG+QrrwgK4xwLjywL70wLR4QLW5QK15gL96gL2/QLW/gIA,AAECAaIHBq8E8wWdDf3qAp74Auf6AgyMAssD1AX1Bd0IgcICn8IC68IC0eECi+UCpu8C4vgCAA==,AAECAf0EBAxxotMC7vYCDbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wClf8Cuf8CAA==,AAECAZICCFa0A8UEws4CmdMCm+gC4vgC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8I+wWG0wKc4gK26gL96gLc7gKA8wK5+AILjQGXCO0Jq8IC2MICnM0Cxs4C3dICi+EC4eMC8vECAA==,
Israel,AAECAQcKkQPeBfkM08UCz8cCze8CkvgCnvgCs/wCoIADCkuiAqIE/webwgKixwLK5wKD+wKO+wKe+wIA,AAECAa0GBMUE1grTxQKQ0wINkAKhBOUE9geNCPIM0cECyccC6NACy+YC/OoCvfMC4vgCAA==,AAECAaoICP8F08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCKMB2wbMCNPFAqDOApfTAtvpApz4AguKAbYHm8IC58sCrs0C8tACiNIC2OUC6OcC4vgCgIoDAA==,AAECAZ8FBK8EpwX5Cp74Ag1G8wX1BevCAoPHArjHAuPLApXOAvvTAtHhAtblArXmAuL4AgA=,AAECAaIHBK8E/eoCnvgC5/oCDYwCywPUBfMF9QXdCIHCAp/CAuvCAtHhAovlAqbvAuL4AgA=,AAECAf0EBtACxQTTxQLCzgKb0wKj6wIMTYoByQPsB5vCApbHAtXhAtfhApbkArfxAsP4AuL4AgA=,AAECAZICCFa0A8UEmdMCl+gCm+gCv/IC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MC4vgCAA==,AAECAR8C6dIChtMCDo0BqAK1A8kElwjFCNsJ3dIC39IC49IC4eMC6uMC3O4Ch/sCAA==,
Italy,AAECAQcI+QzTxQLPxwKa7gLN7wKS+AKe+AKggAMLS6ICogTeBf8Hm8ICoscCyucCg/sCjvsCnvsCAA==,AAECAa0GCAjFBNMK08UCoM4CkNMC4/cC4vgCC6EE5QT2B40I8gz7DNHBAsnHAujQAsvmAr3zAgA=,AAECAaoICPPCAtPFAsLOAuvPApziAqfuAu/3Apn7Agv5A/UE3gX+BevCAsrDApvLAvvTAtHhAt/pAuL4AgA=,AAECAf0GBvcE8gXzBffNApziAo+CAwwwhAHOB8II9wybywKfzgLy0ALR4QKH6AL09wLT+AIA,AAECAZ8FBq8EpwX5CuvCAv3qAp74AgxG8wWDxwK4xwLjywL70wLR4QLW5QK15gLi+AL2/QLW/gIA,AAECAaIHBK8E/eoCnvgC5/oCDYwCywPUBfMF3QiBwgKfwgLrwgLR4QKL5QKm7wLi+AL6/gIA,AAECAf0EBnGrBO0Fvwii0wLu9gIMuwKVA7QE5gSWBewFwcECmMQCj9MC++wClf8Cuf8CAA==,AAECAZICCLQDxQSZ0wKb6AKa7gK/8gLk+wL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wLi+AIA,AAECAR8I+AjtCdPFAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA==,
Japan,AAECAQcMogLQAt4Fm8IC0cMC08UCz8cCw+oCze8CnfACnvgCoIADCUuiBPwE/wfK5wLi+AKD+wKO+wKe+wIA,AAECAa0GAsUEkNMCDpACoQTlBPYHjQjVCvIM0cECyccC6NACy+YC/OoCvfMC4vgCAA==,AAECAaoIBiCZAvPCAsLOAqfuAs30Agy9AdMB2QfwB7EIkcECrMICm8sC6uYClugClO8CsPACAA==,AAECAf0GAq8EnOICDjCEAc4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAu/xAvT3AtP4AgA=,AAECAZ8FBK8EpwX96gKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0EAqLTAu72Ag5xuwKVA7QE5gSWBewFwcECmMQCj9MC++wC7/EClf8Cuf8CAA==,AAECAZICAvcDmdMCDkBf/QLmBYUI5AigzQKHzgKY0gKe0gLb0wKE5gLX7wLi+AIA,AAECAR8I+wX4CIbTApziArbqAsvsAvLxAoDzAguNAZcI7QmrwgLYwgKczQLd0gKL4QLh4wK5+ALi+AIA,
