,Warrior,Priest,Shaman,Warlock,Paladin,Rogue,Mage,Druid,Hunter
Croatia,AAECAQcEkAOyCNPDAp/TAg1LogSRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GBpACxQSKB9UK1gqQ0wIMoQTlBPYHjQjyDPsM0cECyccC6NACy+YC/OoCvfMCAA==,AAECAaoICPkD08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCPsGigf7B/gMws4Cl9MCl+gCzfQCC4oB8gW2B+EHjQjnywLx0AL90AKI0gLY5QLq5gIA,AAECAZ8FBkavBLoEpwWVzgKe+AIM9QX5CpvCAuvCAoPHArjHAuPLAvvTAtHhAovlAtblArXmAgA=,AAECAaIHBrIC7QKvBL0ElwbdCAy0AYwCzQObBYgHpAeGCYHCAuvCAtzRAtvjAqbvAgA=,AAECAf0EBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAZICCP4BtAOTBMUE4scCws4CmdMCm+gCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8G+AjrwgKG0wKc4gK26gKA8wIMjQG1A5cI7QmrwgLYwgKbywKczQLd0gKL4QLh4wLy8QIA
Czech Republic,AAECAQcEkAOQB9PDAp/TAg1LogSRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GBsUE1Qr7DNPFAqDOApDTAgyQAqEE5QT2B40I8gzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICt4F/wWyBtPFAp3HAqvnAsPqAqfuAvbwAu/3AgqBBPUE/gX2B/sMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GCvsGigf7B/gM5sICoM4Cws4Cl9MCl+gCzfQCCooB8gW2B+EHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBq8EpwXrwgKVzgKL5QKe+AIMRvUF+QqbwgKDxwK4xwLjywL70wLR4QLW5QK15gL96gIA,AAECAaIHBLICrwS9BJcGDbQBjALNA5sFiAekB90IhgmBwgLrwgLc0QLb4wKm7wIA,AAECAf0ECNAC08UCz8cCoM4Cws4Cm9MC8tMCo+sCC02KAckD7AebwgKWxwLV4QLX4QKW5AK+7AK38QIA,AAECAZICDOkB/gG0A5MExQTEBqIJ4scCws4CntICmdMCm+gCCUBf0wPkCKDNAofOApjSAtvTAr/yAgA=,AAECAR8I8gX4CMLOAobTAufhApziArbqAoDzAguNAcbCAuvCAsrDApvLApzNAtPNAt3SAuHjAu3qAvLxAgA=
Denmark,AAECAQcGkAOiBLII08MCn9MC0fUCDEuRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GCJACxQSKB9UK1gr7DKDOApDTAguhBOUE9geNCPIM0cECyccC6NACy+YC/OoCvfMCAA==,AAECAaoICvkD3gX/BfgM08UCnOICq+cCw+oCp+4C7/cCCoEE9QT+BbIG+wyXwQLHwQKbywLz5wLv8QIA,AAECAf0GBPIFysMCnOIC/eoCDTCEAfcEzgfCCPcMm8sC980Cn84C8tAC0eECh+gC7/ECAA==,AAECAZ8FBq8E+QqbwgKL5QL96gKe+AIMRvUF68ICg8cCuMcCyssC48sClc4C+9MC0eEC1uUCteYCAA==,AAECAaIHBLIC7QKvBOvCAg20AYwCzQO9BJsFlwaIB6QHhgmBwgLc0QLb4wKm7wIA,AAECAf0EBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAZICCP4BtAPFBMQG4scCws4CmdMCm+gCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8I8gX4CMbCAobTApziArbqAv3qAoDzAguNAfsFlwjtCavCAtjCApvLApzNAt3SAovhAuHjAgA=
Finland,AAECAQcGogTKwwLTwwKbywKf0wKd8AIMS5EG/weyCPsMm8ICvsMCzM0Cz+cCquwCm/MC0fUCAA==,AAECAa0GBMUEigf7DJDTAg2QAqEE5QT2B40I8gzRwQLJxwLo0ALL5gL86gKJ8QK98wIA,AAECAaoIBvkDq+cCw+oCp+4CnvAC7/cCDIEE9QT+Bf8Fsgb2B/sMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GBpkCigfCzgKX0wKX6ALN9AIMigHyBfsGtgfhB/sHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBK8EpwWD1AKe+AINRvUF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gL96gIA,AAECAaIHBs0D1AWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBYYJl8EC/MEC68ICx9MC2+MC9uwCAA==,AAECAf0EAqLTAu/xAg5xuwKVA6sEtATmBJYF7AWWBsHBApjEAo/TAr7sAvvsAgA=,AAECAZICCP4BtAPFBLcGxAbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8G+AjtCYbTApziArbqAoDzAgyNAbUDlwirwgLYwgLrwgKbywKczQLd0gKL4QLh4wLy8QIA
France,AAECAQcGogKQA6IEkAfTwwKf0wIMS5EG/wf7DJvCAr7DAsrDApvLAszNAs/nAqrsApvzAgA=,AAECAa0GBsUE1Qr7DNPFAqDOApDTAgyQAqEE5QT2B40I8gzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICN4F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCIoH+wf4DObCAqbOAsLOApfTAs30AguKAfIF+wa2B+EHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FCO0Figf4DLPBArnBArfpAs30Auv3Agv7AZkC3APyBfQFlgbPBq8HsQiWCZvLAgA=,AAECAaIHCMgDiAeoCIHCAtPFAoDTArvvAqbwAgvEAcsDzQP2BJsFhgmpzQKxzgLl0QLb4wLJ+wIA,AAECAf0EBKsElga/CKLTAg1xuwKVA7QE5gSWBewFwcECmMQCj9MCvuwC++wC7/ECAA==,AAECAZICBsnCAsLOAq/TAo3mAvHqAo3wAgxAX+kB5AjJxwKU0gKY0gKe0gLm0wKL4QKE5gLd6wIA,AAECAR8I+AjTxQLTzQKG0wKc4gK26gL96gKA8wILjQHyBZcI7QmrwgLYwgKbywKczQLd0gKL4QLh4wIA
Germany,AAECAQcGogKiBJAHsgjTwwKf0wIMS5EG/wf7DJvCAr7DAsrDApvLAszNAs/nAqrsApvzAgA=,AAECAa0GCpACxQSQB9UK1gr7DMnHApDTAo7uAonxAgqhBOUE9geNCPIM0cEC6NACy+YC/OoCvfMCAA==,AAECAR8G+AiG0wKc4gK26gL96gKA8wIMjQH7BZcI7QmrwgLYwgKczQLTzQLd0gKL4QLh4wLy8QIA,AAECAf0GDooBogKTBNsGigeSB8wI+NACl9MC2OUC/OUC2OcC2+kCnPgCCLYHm8IC58sC980C8tACiNIC6uYC6OcCAA==,AAECAZ8FBK8EpwX96gKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBrIC7QKvBL0ElwbL7AIMtAGMAs0DmwWIB6QHhgmBwgLrwgLc0QLb4wKm7wIA,AAECAf0ECNAC08UCm8sCoM4Cws4Cm9MC8tMCo+sCC02KAckD7AebwgKWxwLV4QLX4QKW5AK+7AK38QIA,AAECAZICBMLOAq/TAo3mAvHqAg1AX+kB5AjJxwKU0gKY0gKe0gLm0wKL4QKE5gLd6wKN8AIA,AAECAR8K+wX4CMnCAuvCApvLAt3SAobTApziArbqAoDzAgqNAZcI7QmrwgLYwgKczQLTzQKL4QLh4wLy8QIA
Greece,AAECAQcEkAPTwwLTxQKf0wINS6IEkQb/B/sMm8ICvsMCysMCm8sCzM0Cz+cCquwCm/MCAA==,AAECAa0GBsUE1QrWCvsM08UCkNMCDJACoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICNPFApziAqvnAt/pAsPqAqfuAp7wAu/3AguBBPUE/gX/BbIG+wyXwQLHwQKbywLz5wLv8QIA,AAECAf0GCooBmQKKB/sH+AzmwgLCzgKX0wKX6ALN9AIK8gX7BrYH4QeNCOfLAvHQAv3QAojSAtjlAgA=,AAECAZ8FBK8EpwX96gKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBsgDrwSdDcrLAv3qAp74AgyMAssD1AX1Bd0IgcICn8IC68IC0eECi+UCpu8Cx/gCAA==,AAECAf0EBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAZICCP4BtAOTBMUE4scCws4CmdMCm+gCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8I+AjJwgLrwgKG0wKc4gK26gLy8QKA8wILjQH7BZcI7QmrwgLYwgKczQLTzQLd0gKL4QLh4wIA
Hong Kong,AAECAQcGkAOyCNPDAtPFAp/TAsrnAgxLkQb/B/sMm8ICvsMCysMCm8sCzM0Cz+cCquwCm/MCAA==,AAECAa0GCJACxQTVCtYK+wzTxQKgzgKQ0wILoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICN4F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBIoHl9MC2+kCnPgCDYoBkwT3BLYH4QebwgLnywLy0AL40AKI0gKL4QL85QLo5wIA,AAECAZ8FAq8EnvgCDkanBfUF68ICg8cCuMcC48sClc4C+9MC0eECi+UC1uUCteYC/eoCAA==,AAECAYO6AgayAsgDrwTKywKe+ALH+AIMjALLA9QF9QXdCIHCAp/CAuvCAtHhAovlAv3qAqbvAgA=,AAECAf0ECpwC0AK4A9PFAqDOAsLOApvTAvLTAqPrAr7sAgpNigHJA+wHm8IClscC1eEC1+ECluQCt/ECAA==,AAECAZICAv4BmdMCDkBf/QL3A+YFhQjkCKDNAofOApjSAp7SAtvTAoTmAtfvAgA=,AAECAR8EyQSuBsUIhtMCDagCtQOHBOsHlwjbCf4MjsMC180C3dIC39IC49ICi+UCAA==
Hungary,AAECAQcGogKQA6IE08MCn9MC5e8CDEuRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GCJACxQTVCtYK+wzTxQKQ0wKJ8QILoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAfe5AgjeBdPFApziAqvnAsPqAqfuAp7wAu/3AguBBPUE/gX/BbIG+wyXwQLHwQKbywLz5wLv8QIA,AAECAf0GCJkCigf7B/gMws4Cl9MC6uYCzfQCC4oB8gX7BrYH4QeNCOfLAvHQAv3QAojSAtjlAgA=,AAECAYsWBq8EpwX5CoPUAv3qAp74AgxG9QWbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAYO6AgayAsgDrwTKywL96gKe+AIMjALLA9QF9QXdCIHCAp/CAuvCAtHhAovlAqbvAsf4AgA=,AAECAc2xAgSWBr8IotMCvuwCDXG7ApUDqwS0BOYElgXsBcHBApjEAo/TAvvsAu/xAgA=,AAECAZICCP4BtAOTBMUE4scCws4CmdMCm+gCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8G+wX4CIbTArbqAv3qAoDzAgyNAfsBlwjtCavCAtjCApzNAtPNAt3SAovhAuHjAvLxAgA=
Indonesia,AAECAYwWBqIEsgjTwwKixwKf0wLl7wIMS5EG/wf7DJvCAr7DAsrDApvLAszNAs/nAqrsApvzAgA=,AAECAZ/HAgiQAsUE1Qr7DNPFAqDOApDTAuj5AguhBOUE9geNCPIM0cECyccC6NACy+YC/OoCvfMCAA==,AAECAfe5Agr1BN4F9gfTxQKdxwKr5wLg6gKn7gKe8ALv9wIKgQT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAfqUAwiZAooH+wfMCPgMws4Cl9MCzfQCC4oB8gX7BrYH4QeNCOfLAvHQAv3QAojSAtjlAgA=,AAECAaToAgavBKcFm8IC68ICg8cCnvgCDEb1BfkKuMcC48sClc4C+9MC0eECi+UC1uUCteYC/eoCAA==,AAECAYO6AgaiAsgDrwSXwQKe+ALH+AIMjALLA9QF9QXdCIHCAp/CAuvCAsrLAtHhAovlAqbvAgA=,AAECAc2xAgSWBr8IotMCvuwCDXG7ApUDqwS0BOYElgXsBcHBApjEAo/TAvvsAu/xAgA=,AAECAZICCP4BtAOTBMUE4scCws4CmdMCm+gCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAYoWBuvCAobTApziArbqAv3qAoDzAgyNAZcI7QmrwgLYwgKczQLTzQLGzgLd0gKL4QLh4wLy8QIA
Israel,AAECAQcEogSQB7II08MCDUuRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7ALl7wKb8wIA,AAECAa0GCJACxQSKB/YH1gr7DKDOApDTAguhBOUEjQjVCvIM0cECyccC6NACy+YC/OoCvfMCAA==,AAECAaoICt4F/wXTxQKc4gKr5wLf6QLD6gKn7gKe8ALv9wIKgQT1BP4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBooBycICl9MCneIC2OcC2+kCDJME9wTyBbYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA,AAECAZ8FBK8EpwWbwgKe+AINRvUF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gL96gIA,AAECAaIHBs0DmwWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBdQFhgmXwQL8wQLH0wLb4wL27AIA,AAECAf0EBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAZICCP4BtAOTBMUEtwbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8I+AjJwgLrwgLTzQKG0wKc4gK26gKA8wILjQGXCO0Jq8IC2MICm8sCnM0C3dICi+EC4eMC8vECAA==
