Hydrologist,17,COMMON,UNGORO
Bloodmage Thalnos,17,LEGENDARY,EXPERT1
Shield Slam,16,EPIC,EXPERT1
Lost in the Jungle,16,COMMON,UNGORO
Sap,16,FREE,CORE
Brawl,16,EPIC,EXPERT1
Shield Block,16,FREE,CORE
Cabal Shadow Priest,15,EPIC,EXPERT1
Divine Favor,15,RARE,EXPERT1
The Glass Knight,14,LEGENDARY,GILNEAS
Reckless Flurry,14,EPIC,LOOTAPALOOZA
Valeera the Hollow,14,LEGENDARY,ICECROWN
Siphon Soul,13,RARE,EXPERT1
Candleshot,12,COMMON,LOOTAPALOOZA
Whirlwind,12,FREE,CORE
Tracking,12,FREE,CORE
Kill Command,12,FREE,CORE
Coldlight Seer,12,RARE,EXPERT1
Unleash the Hounds,12,COMMON,EXPERT1
Animal Companion,12,FREE,CORE
Eaglehorn Bow,12,RARE,EXPERT1
Rabid Worgen,12,COMMON,GILNEAS
Dinosize,11,EPIC,UNGORO
Shadow Word: Death,10,FREE,CORE
Direhorn Hatchling,10,RARE,UNGORO
Hadronox,10,LEGENDARY,ICECROWN
Town Crier,10,EPIC,GILNEAS
Fan of Knives,10,FREE,CORE
Master Oakheart,10,LEGENDARY,LOOTAPALOOZA
Defender of Argus,9,RARE,EXPERT1
Acherus Veteran,8,COMMON,ICECROWN
Arcane Shot,8,FREE,CORE
Lesser Emerald Spellstone,8,RARE,LOOTAPALOOZA
Explosive Trap,8,COMMON,EXPERT1
Flanking Strike,8,COMMON,LOOTAPALOOZA
To My Side!,8,EPIC,LOOTAPALOOZA
Baron Geddon,8,LEGENDARY,EXPERT1
Hunter's Mark,8,FREE,CORE
Wandering Monster,8,RARE,LOOTAPALOOZA
Bittertide Hydra,7,EPIC,UNGORO
Edwin VanCleef,7,LEGENDARY,EXPERT1
Arcane Keysmith,7,EPIC,GILNEAS
Fire Plume Phoenix,6,COMMON,UNGORO
Corpsetaker,6,EPIC,ICECROWN
King Mosh,6,LEGENDARY,UNGORO
Hex,6,FREE,CORE
Stormforged Axe,6,COMMON,EXPERT1
Darius Crowley,6,LEGENDARY,GILNEAS
Grievous Bite,6,COMMON,UNGORO
Polymorph,6,FREE,CORE
Murkspark Eel,6,RARE,GILNEAS
Elise the Trailblazer,6,LEGENDARY,UNGORO
Flametongue Totem,6,FREE,CORE
Earthen Might,6,RARE,GILNEAS
Mind Control,6,FREE,CORE
Sea Giant,6,EPIC,EXPERT1
Primalfin Totem,6,RARE,UNGORO
Big Game Hunter,6,EPIC,EXPERT1
Vinecleaver,6,RARE,UNGORO
Backstab,6,FREE,CORE
Spreading Plague,5,RARE,ICECROWN
Captain Greenskin,5,LEGENDARY,EXPERT1
Fiery War Axe,5,FREE,CORE
Freezing Trap,4,COMMON,EXPERT1
Gnomeferatu,4,EPIC,ICECROWN
Meteor,4,EPIC,UNGORO
Soulfire,4,FREE,CORE
Wolfrider,4,FREE,CORE
Forge of Souls,4,COMMON,ICECROWN
Shiv,4,FREE,CORE
Iron Hide,4,COMMON,UNGORO
Arcane Tyrant,4,EPIC,LOOTAPALOOZA
Rhok'delar,4,LEGENDARY,LOOTAPALOOZA
Squashling,4,COMMON,GILNEAS
Rotten Applebaum,4,COMMON,GILNEAS
Flame Imp,4,COMMON,EXPERT1
Eviscerate,4,COMMON,EXPERT1
Witchwood Piper,4,RARE,GILNEAS
Warpath,4,COMMON,GILNEAS
Wispering Woods,4,EPIC,GILNEAS
Deathstalker Rexxar,4,LEGENDARY,ICECROWN
Raven Familiar,4,COMMON,LOOTAPALOOZA
Deathspeaker,4,COMMON,ICECROWN
Bring It On!,4,EPIC,ICECROWN
Execute,4,FREE,CORE
Soul of the Forest,4,COMMON,EXPERT1
Blizzard,4,RARE,EXPERT1
Blood Razor,4,COMMON,ICECROWN
Dragon's Fury,4,EPIC,LOOTAPALOOZA
Despicable Dreadlord,4,RARE,ICECROWN
Leper Gnome,4,COMMON,EXPERT1
Gather Your Party,4,RARE,LOOTAPALOOZA
Fal'dorei Strider,4,EPIC,LOOTAPALOOZA
Savage Roar,4,FREE,CORE
Flamestrike,4,FREE,CORE
Emerald Reaver,4,COMMON,UNGORO
Voidwalker,4,FREE,CORE
Arcane Artificer,4,COMMON,LOOTAPALOOZA
Holy Fire,3,RARE,EXPERT1
Hagatha the Witch,3,LEGENDARY,GILNEAS
Al'Akir the Windlord,3,LEGENDARY,EXPERT1
Gadgetzan Auctioneer,3,RARE,EXPERT1
Dragonhatcher,3,EPIC,LOOTAPALOOZA
Nerubian Unraveler,3,EPIC,ICECROWN
Sacrificial Pact,3,FREE,CORE
Woecleaver,2,LEGENDARY,LOOTAPALOOZA
Ysera,2,LEGENDARY,EXPERT1
Crystal Lion,2,RARE,LOOTAPALOOZA
Dragoncaller Alanna,2,LEGENDARY,LOOTAPALOOZA
Duskhaven Hunter,2,RARE,GILNEAS
Geosculptor Yip,2,LEGENDARY,LOOTAPALOOZA
Frost Lich Jaina,2,LEGENDARY,ICECROWN
Scourgelord Garrosh,2,LEGENDARY,ICECROWN
Sleepy Dragon,2,COMMON,LOOTAPALOOZA
Grommash Hellscream,2,LEGENDARY,EXPERT1
Rotface,2,LEGENDARY,ICECROWN
Curious Glimmerroot,2,EPIC,UNGORO
Bluegill Warrior,2,FREE,CORE
Archbishop Benedictus,2,LEGENDARY,ICECROWN
Free From Amber,2,RARE,UNGORO
Mirror Image,2,FREE,CORE
Slam,2,COMMON,EXPERT1
Tanglefur Mystic,2,COMMON,GILNEAS
Dead Man's Hand,2,EPIC,ICECROWN
Mossy Horror,2,EPIC,GILNEAS
Wing Blast,2,RARE,GILNEAS
Vex Crow,1,COMMON,GILNEAS
Azalina Soulthief,1,LEGENDARY,GILNEAS
Ferocious Howl,1,COMMON,GILNEAS
Hungry Crab,1,EPIC,EXPERT1
Silver Sword,1,RARE,GILNEAS
Gorehowl,1,EPIC,EXPERT1
Dollmaster Dorian,1,LEGENDARY,GILNEAS
Tinkmaster Overspark,1,LEGENDARY,EXPERT1
Plague Scientist,1,COMMON,ICECROWN
Earthen Ring Farseer,1,COMMON,EXPERT1
Keeper of the Grove,1,RARE,EXPERT1
