Saronite Chain Gang,66,Paladin,NEUTRAL,RARE,ICECROWN,100,0,6600,,,,,,,,,,,
Bloodreaver Gul'dan,64,Warlock,WARLOCK,LEGENDARY,ICECROWN,1600,0,102400,,,,,,,,,,,
Acidic Swamp Ooze,60,Paladin,NEUTRAL,FREE,CORE,0,0,0,,,,,,,,,,,
Mind Control Tech,59,Druid,NEUTRAL,RARE,EXPERT1,100,0,5900,,,,,,,,,,,
Lord Godfrey,59,Warlock,WARLOCK,LEGENDARY,GILNEAS,1600,0,94400,,,,,,,,,,,
Mana Wyrm,58,Mage,MAGE,COMMON,EXPERT1,40,0,2320,,,,,,,,,,,
Frostbolt,58,Mage,MAGE,FREE,CORE,0,0,0,,,,,,,,,,,
Kirin Tor Mage,58,Mage,MAGE,RARE,EXPERT1,100,0,5800,,,,,,,,,,,
Arcanologist,58,Mage,MAGE,COMMON,UNGORO,40,0,2320,,,,,,,,,,,
Cinderstorm,58,Mage,MAGE,RARE,GILNEAS,100,0,5800,,,,,,,,,,,
Arcane Missiles,58,Mage,MAGE,FREE,CORE,0,0,0,,,,,,,,,,,
Primordial Glyph,58,Mage,MAGE,EPIC,UNGORO,400,0,23200,,,,,,,,,,,
Fireball,58,Mage,MAGE,FREE,CORE,0,0,0,,,,,,,,,,,
Sorcerer's Apprentice,58,Mage,MAGE,COMMON,EXPERT1,40,0,2320,,,,,,,,,,,
Explosive Runes,58,Mage,MAGE,RARE,LOOTAPALOOZA,100,0,5800,,,,,,,,,,,
Stonehill Defender,57,Warlock,NEUTRAL,RARE,UNGORO,100,0,5700,,,,,,,,,,,
Argent Commander,55,Paladin,NEUTRAL,RARE,EXPERT1,100,0,5500,,,,,,,,,,,
Dire Wolf Alpha,55,Paladin,NEUTRAL,COMMON,EXPERT1,40,0,2200,,,,,,,,,,,
Arcane Intellect,55,Mage,MAGE,FREE,CORE,0,0,0,,,,,,,,,,,
Counterspell,55,Mage,MAGE,RARE,EXPERT1,100,0,5500,,,,,,,,,,,
Duskbreaker,54,Priest,PRIEST,RARE,LOOTAPALOOZA,100,5400,5400,,,,,,,,,,,
Northshire Cleric,54,Priest,PRIEST,FREE,CORE,0,0,0,,,,,,,,,,,
Sunkeeper Tarim,54,Paladin,PALADIN,LEGENDARY,UNGORO,1600,0,86400,,,,,,,,,,,
Twilight Drake,54,Priest,NEUTRAL,RARE,EXPERT1,100,5400,5400,,,,,,,,,,,
Lifedrinker,53,Mage,NEUTRAL,RARE,GILNEAS,100,0,5300,,,,,,,,,,,
Power Word: Shield,52,Priest,PRIEST,FREE,CORE,0,0,0,,,,,,,,,,,
Mind Blast,52,Priest,PRIEST,FREE,CORE,0,0,0,,,,,,,,,,,
Wild Pyromancer,52,Priest,NEUTRAL,RARE,EXPERT1,100,5200,5200,,,,,,,,,,,
Psychic Scream,52,Priest,PRIEST,EPIC,LOOTAPALOOZA,400,20800,20800,,,,,,,,,,,
Shadow Visions,52,Priest,PRIEST,EPIC,UNGORO,400,20800,20800,,,,,,,,,,,
Divine Hymn,52,Priest,PRIEST,COMMON,GILNEAS,40,2080,2080,,,,,,,,,,,
Malfurion the Pestilent,51,Druid,DRUID,LEGENDARY,ICECROWN,1600,0,81600,,,,,,,,,,,
Grand Archivist,51,Druid,NEUTRAL,EPIC,LOOTAPALOOZA,400,0,20400,,,,,,,,,,,
Primordial Drake,51,Priest,NEUTRAL,EPIC,UNGORO,400,20400,20400,,,,,,,,,,,
Tar Creeper,50,Druid,NEUTRAL,COMMON,UNGORO,40,0,2000,,,,,,,,,,,
The Lich King,49,Druid,NEUTRAL,LEGENDARY,ICECROWN,1600,0,78400,,,,,,,,,,,
Prince Keleseth,48,Druid,NEUTRAL,LEGENDARY,ICECROWN,1600,0,76800,,,,,,,,,,,
Genn Greymane,45,Paladin,NEUTRAL,LEGENDARY,GILNEAS,1600,0,72000,,,,,,,,,,,
Preparation,44,Rogue,ROGUE,EPIC,EXPERT1,400,0,17600,,,,,,,,,,,
Skull of the Man'ari,43,Warlock,WARLOCK,LEGENDARY,LOOTAPALOOZA,1600,0,68800,,,,,,,,,,,
Shadowstep,42,Rogue,ROGUE,COMMON,EXPERT1,40,0,1680,,,,,,,,,,,
Druid of the Claw,41,Druid,DRUID,COMMON,EXPERT1,40,0,1640,,,,,,,,,,,
Youthful Brewmaster,40,Rogue,NEUTRAL,COMMON,EXPERT1,40,0,1600,,,,,,,,,,,
Glacial Shard,40,Rogue,NEUTRAL,COMMON,UNGORO,40,0,1600,,,,,,,,,,,
Vanish,40,Rogue,ROGUE,FREE,CORE,0,0,0,,,,,,,,,,,
Stonetusk Boar,40,Rogue,NEUTRAL,FREE,CORE,0,0,0,,,,,,,,,,,
Novice Engineer,40,Rogue,NEUTRAL,FREE,CORE,0,0,0,,,,,,,,,,,
Vicious Scalehide,40,Rogue,NEUTRAL,COMMON,GILNEAS,40,0,1600,,,,,,,,,,,
Mimic Pod,39,Rogue,ROGUE,RARE,UNGORO,100,0,3900,,,,,,,,,,,
Cobalt Scalebane,38,Druid,NEUTRAL,COMMON,ICECROWN,40,0,1520,,,,,,,,,,,
Spiritsinger Umbra,38,Warlock,NEUTRAL,LEGENDARY,UNGORO,1600,0,60800,,,,,,,,,,,
Elven Minstrel,36,Rogue,ROGUE,RARE,LOOTAPALOOZA,100,0,3600,,,,,,,,,,,
Amani Berserker,35,Mage,NEUTRAL,COMMON,EXPERT1,40,0,1400,,,,,,,,,,,
SI:7 Agent,34,Rogue,ROGUE,RARE,EXPERT1,100,0,3400,,,,,,,,,,,
Twilight Acolyte,34,Priest,PRIEST,EPIC,LOOTAPALOOZA,400,13600,13600,,,,,,,,,,,
Cold Blood,34,Rogue,ROGUE,COMMON,EXPERT1,40,0,1360,,,,,,,,,,,
Hench-Clan Thug,34,Rogue,NEUTRAL,COMMON,GILNEAS,40,0,1360,,,,,,,,,,,
Prince Taldaram,33,Warlock,NEUTRAL,LEGENDARY,ICECROWN,1600,0,52800,,,,,,,,,,,
Acolyte of Pain,33,Priest,NEUTRAL,COMMON,EXPERT1,40,1320,1320,,,,,,,,,,,
Val'anyr,32,Paladin,PALADIN,LEGENDARY,LOOTAPALOOZA,1600,0,51200,,,,,,,,,,,
Scaleworm,32,Priest,NEUTRAL,RARE,GILNEAS,100,3200,3200,,,,,,,,,,,
"Rin, the First Disciple",31,Warlock,WARLOCK,LEGENDARY,LOOTAPALOOZA,1600,0,49600,,,,,,,,,,,
Lightfused Stegodon,31,Paladin,PALADIN,RARE,UNGORO,100,0,3100,,,,,,,,,,,
Argent Squire,30,Rogue,NEUTRAL,COMMON,EXPERT1,40,0,1200,,,,,,,,,,,
Fungalmancer,30,Rogue,NEUTRAL,COMMON,LOOTAPALOOZA,40,0,1200,,,,,,,,,,,
Dire Mole,30,Rogue,NEUTRAL,COMMON,LOOTAPALOOZA,40,0,1200,,,,,,,,,,,
Vicious Fledgling,30,Rogue,NEUTRAL,RARE,UNGORO,100,0,3000,,,,,,,,,,,
Twisting Nether,29,Warlock,WARLOCK,EPIC,EXPERT1,400,0,11600,,,,,,,,,,,
Pyroblast,29,Mage,MAGE,EPIC,EXPERT1,400,0,11600,,,,,,,,,,,
Aluneth,29,Mage,MAGE,LEGENDARY,LOOTAPALOOZA,1600,0,46400,,,,,,,,,,,
Deadly Poison,28,Rogue,ROGUE,FREE,CORE,0,0,0,,,,,,,,,,,
Vilespine Slayer,28,Rogue,ROGUE,EPIC,UNGORO,400,0,11200,,,,,,,,,,,
Mass Dispel,27,Priest,PRIEST,RARE,EXPERT1,100,2700,2700,,,,,,,,,,,
Alexstrasza,27,Priest,NEUTRAL,LEGENDARY,EXPERT1,1600,43200,43200,,,,,,,,,,,
Shadowreaper Anduin,26,Priest,PRIEST,LEGENDARY,ICECROWN,1600,41600,41600,,,,,,,,,,,
Swipe,24,Druid,DRUID,FREE,CORE,0,0,0,,,,,,,,,,,
Lesser Jasper Spellstone,24,Druid,DRUID,RARE,LOOTAPALOOZA,100,0,2400,,,,,,,,,,,
Oaken Summons,24,Druid,DRUID,COMMON,LOOTAPALOOZA,40,0,960,,,,,,,,,,,
Nourish,24,Druid,DRUID,RARE,EXPERT1,100,0,2400,,,,,,,,,,,
Wild Growth,24,Druid,DRUID,FREE,CORE,0,0,0,,,,,,,,,,,
Branching Paths,24,Druid,DRUID,EPIC,LOOTAPALOOZA,400,0,9600,,,,,,,,,,,
Tar Creeper,23,Rogue,NEUTRAL,COMMON,UNGORO,40,0,920,,,,,,,,,,,
Acidic Swamp Ooze,23,Warlock,NEUTRAL,FREE,CORE,0,0,0,,,,,,,,,,,
Spellbreaker,23,Warlock,NEUTRAL,COMMON,EXPERT1,40,0,920,,,,,,,,,,,
Gluttonous Ooze,23,Druid,NEUTRAL,EPIC,UNGORO,400,0,9200,,,,,,,,,,,
Ironbeak Owl,23,Warlock,NEUTRAL,COMMON,EXPERT1,40,0,920,,,,,,,,,,,
Shroom Brewer,22,Warlock,NEUTRAL,COMMON,LOOTAPALOOZA,40,0,880,,,,,,,,,,,
Wax Elemental,22,Rogue,NEUTRAL,COMMON,LOOTAPALOOZA,40,0,880,,,,,,,,,,,
Blink Fox,21,Rogue,ROGUE,COMMON,GILNEAS,40,0,840,,,,,,,,,,,
Ironwood Golem,21,Druid,DRUID,COMMON,LOOTAPALOOZA,40,0,840,,,,,,,,,,,
Sonya Shadowdancer,20,Rogue,ROGUE,LEGENDARY,LOOTAPALOOZA,1600,0,32000,,,,,,,,,,,
Igneous Elemental,20,Rogue,NEUTRAL,COMMON,UNGORO,40,0,800,,,,,,,,,,,
Voodoo Doll,20,Warlock,NEUTRAL,EPIC,GILNEAS,400,0,8000,,,,,,,,,,,
Zola the Gorgon,20,Rogue,NEUTRAL,LEGENDARY,LOOTAPALOOZA,1600,0,32000,,,,,,,,,,,
Naturalize,20,Druid,DRUID,COMMON,EXPERT1,40,0,800,,,,,,,,,,,
Witching Hour,20,Druid,DRUID,RARE,GILNEAS,100,0,2000,,,,,,,,,,,
The Caverns Below,20,Rogue,ROGUE,LEGENDARY,UNGORO,1600,0,32000,,,,,,,,,,,
Carnivorous Cube,20,Druid,NEUTRAL,EPIC,LOOTAPALOOZA,400,0,8000,,,,,,,,,,,
Drygulch Jailor,19,Paladin,PALADIN,COMMON,LOOTAPALOOZA,40,0,760,,,,,,,,,,,
Skulking Geist,19,Priest,NEUTRAL,EPIC,ICECROWN,400,7600,7600,,,,,,,,,,,
Mortal Coil,19,Warlock,WARLOCK,FREE,CORE,0,0,0,,,,,,,,,,,
Wrath,19,Druid,DRUID,COMMON,EXPERT1,40,0,760,,,,,,,,,,,
Murloc Tidecaller,18,Paladin,NEUTRAL,RARE,EXPERT1,100,0,1800,,,,,,,,,,,
Rockpool Hunter,18,Paladin,NEUTRAL,COMMON,UNGORO,40,0,720,,,,,,,,,,,
Righteous Protector,18,Paladin,PALADIN,COMMON,ICECROWN,40,0,720,,,,,,,,,,,
Gentle Megasaur,18,Paladin,NEUTRAL,EPIC,UNGORO,400,0,7200,,,,,,,,,,,
Murloc Warleader,18,Paladin,NEUTRAL,EPIC,EXPERT1,400,0,7200,,,,,,,,,,,
Unidentified Maul,18,Paladin,PALADIN,RARE,LOOTAPALOOZA,100,0,1800,,,,,,,,,,,
Plated Beetle,17,Paladin,NEUTRAL,COMMON,LOOTAPALOOZA,40,0,680,,,,,,,,,,,
Leeroy Jenkins,17,Rogue,NEUTRAL,LEGENDARY,EXPERT1,1600,0,27200,,,,,,,,,,,
Hydrologist,17,Paladin,PALADIN,COMMON,UNGORO,40,0,680,,,,,,,,,,,
Brawl,16,Warrior,WARRIOR,EPIC,EXPERT1,400,0,6400,,,,,,,,,,,
Shield Slam,16,Warrior,WARRIOR,EPIC,EXPERT1,400,0,6400,,,,,,,,,,,
Shield Block,16,Warrior,WARRIOR,FREE,CORE,0,0,0,,,,,,,,,,,
The Lich King,16,Paladin,NEUTRAL,LEGENDARY,ICECROWN,1600,0,25600,,,,,,,,,,,
Lost in the Jungle,16,Paladin,PALADIN,COMMON,UNGORO,40,0,640,,,,,,,,,,,
Nightmare Amalgam,16,Paladin,NEUTRAL,EPIC,GILNEAS,400,0,6400,,,,,,,,,,,
Cobalt Scalebane,16,Rogue,NEUTRAL,COMMON,ICECROWN,40,0,640,,,,,,,,,,,
Sap,16,Rogue,ROGUE,FREE,CORE,0,0,0,,,,,,,,,,,
Ironbeak Owl,15,Rogue,NEUTRAL,COMMON,EXPERT1,40,0,600,,,,,,,,,,,
Baku the Mooneater,15,Rogue,NEUTRAL,LEGENDARY,GILNEAS,1600,0,24000,,,,,,,,,,,
Cabal Shadow Priest,15,Priest,PRIEST,EPIC,EXPERT1,400,6000,6000,,,,,,,,,,,
Divine Favor,15,Paladin,PALADIN,RARE,EXPERT1,100,0,1500,,,,,,,,,,,
Primordial Drake,15,Druid,NEUTRAL,EPIC,UNGORO,400,0,6000,,,,,,,,,,,
Bloodmage Thalnos,15,Mage,NEUTRAL,LEGENDARY,EXPERT1,1600,0,24000,,,,,,,,,,,
Valeera the Hollow,14,Rogue,ROGUE,LEGENDARY,ICECROWN,1600,0,22400,,,,,,,,,,,
The Glass Knight,14,Paladin,PALADIN,LEGENDARY,GILNEAS,1600,0,22400,,,,,,,,,,,
Reckless Flurry,14,Warrior,WARRIOR,EPIC,LOOTAPALOOZA,400,0,5600,,,,,,,,,,,
Siphon Soul,13,Warlock,WARLOCK,RARE,EXPERT1,100,0,1300,,,,,,,,,,,
Rabid Worgen,12,Warrior,WARRIOR,COMMON,GILNEAS,40,0,480,,,,,,,,,,,
Vicious Scalehide,12,Paladin,NEUTRAL,COMMON,GILNEAS,40,0,480,,,,,,,,,,,
Eaglehorn Bow,12,Hunter,HUNTER,RARE,EXPERT1,100,0,1200,,,,,,,,,,,
Candleshot,12,Hunter,HUNTER,COMMON,LOOTAPALOOZA,40,0,480,,,,,,,,,,,
Harrison Jones,12,Priest,NEUTRAL,LEGENDARY,EXPERT1,1600,19200,19200,,,,,,,,,,,
Ironbeak Owl,12,Warrior,NEUTRAL,COMMON,EXPERT1,40,0,480,,,,,,,,,,,
Whirlwind,12,Warrior,WARRIOR,FREE,CORE,0,0,0,,,,,,,,,,,
Kill Command,12,Hunter,HUNTER,FREE,CORE,0,0,0,,,,,,,,,,,
Stonehill Defender,12,Warrior,NEUTRAL,RARE,UNGORO,100,0,1200,,,,,,,,,,,
Animal Companion,12,Hunter,HUNTER,FREE,CORE,0,0,0,,,,,,,,,,,
Tracking,12,Hunter,HUNTER,FREE,CORE,0,0,0,,,,,,,,,,,
Leeroy Jenkins,12,Druid,NEUTRAL,LEGENDARY,EXPERT1,1600,0,19200,,,,,,,,,,,
Coldlight Seer,12,Paladin,NEUTRAL,RARE,EXPERT1,100,0,1200,,,,,,,,,,,
Dire Mole,12,Druid,NEUTRAL,COMMON,LOOTAPALOOZA,40,0,480,,,,,,,,,,,
Unleash the Hounds,12,Hunter,HUNTER,COMMON,EXPERT1,40,0,480,,,,,,,,,,,
Tar Creeper,11,Warlock,NEUTRAL,COMMON,UNGORO,40,0,440,,,,,,,,,,,
Dinosize,11,Paladin,PALADIN,EPIC,UNGORO,400,0,4400,,,,,,,,,,,
Shadow Word: Death,10,Priest,PRIEST,FREE,CORE,0,0,0,,,,,,,,,,,
Master Oakheart,10,Druid,NEUTRAL,LEGENDARY,LOOTAPALOOZA,1600,0,16000,,,,,,,,,,,
Direhorn Hatchling,10,Warrior,WARRIOR,RARE,UNGORO,100,0,1000,,,,,,,,,,,
Hadronox,10,Druid,DRUID,LEGENDARY,ICECROWN,1600,0,16000,,,,,,,,,,,
Gluttonous Ooze,10,Priest,NEUTRAL,EPIC,UNGORO,400,4000,4000,,,,,,,,,,,
Fan of Knives,10,Rogue,ROGUE,FREE,CORE,0,0,0,,,,,,,,,,,
Town Crier,10,Warrior,WARRIOR,EPIC,GILNEAS,400,0,4000,,,,,,,,,,,
Gluttonous Ooze,9,Warlock,NEUTRAL,EPIC,UNGORO,400,0,3600,,,,,,,,,,,
Explosive Trap,8,Hunter,HUNTER,COMMON,EXPERT1,40,0,320,,,,,,,,,,,
Lesser Emerald Spellstone,8,Hunter,HUNTER,RARE,LOOTAPALOOZA,100,0,800,,,,,,,,,,,
Arcane Shot,8,Hunter,HUNTER,FREE,CORE,0,0,0,,,,,,,,,,,
Hunter's Mark,8,Hunter,HUNTER,FREE,CORE,0,0,0,,,,,,,,,,,
Flanking Strike,8,Hunter,HUNTER,COMMON,LOOTAPALOOZA,40,0,320,,,,,,,,,,,
Wandering Monster,8,Hunter,HUNTER,RARE,LOOTAPALOOZA,100,0,800,,,,,,,,,,,
To My Side!,8,Hunter,HUNTER,EPIC,LOOTAPALOOZA,400,0,3200,,,,,,,,,,,
Harrison Jones,7,Druid,NEUTRAL,LEGENDARY,EXPERT1,1600,0,11200,,,,,,,,,,,
Arcane Keysmith,7,Mage,MAGE,EPIC,GILNEAS,400,0,2800,,,,,,,,,,,
Edwin VanCleef,7,Rogue,ROGUE,LEGENDARY,EXPERT1,1600,0,11200,,,,,,,,,,,
Dire Wolf Alpha,6,Shaman,NEUTRAL,COMMON,EXPERT1,40,0,240,,,,,,,,,,,
Murkspark Eel,6,Shaman,SHAMAN,RARE,GILNEAS,100,0,600,,,,,,,,,,,
Baku the Mooneater,6,Warrior,NEUTRAL,LEGENDARY,GILNEAS,1600,0,9600,,,,,,,,,,,
Hex,6,Shaman,SHAMAN,FREE,CORE,0,0,0,,,,,,,,,,,
Flametongue Totem,6,Shaman,SHAMAN,FREE,CORE,0,0,0,,,,,,,,,,,
Corpsetaker,6,Shaman,NEUTRAL,EPIC,ICECROWN,400,0,2400,,,,,,,,,,,
Earthen Might,6,Shaman,SHAMAN,RARE,GILNEAS,100,0,600,,,,,,,,,,,
Tar Creeper,6,Priest,NEUTRAL,COMMON,UNGORO,40,240,240,,,,,,,,,,,
Big Game Hunter,6,Warrior,NEUTRAL,EPIC,EXPERT1,400,0,2400,,,,,,,,,,,
Vicious Fledgling,6,Mage,NEUTRAL,RARE,UNGORO,100,0,600,,,,,,,,,,,
Grievous Bite,6,Hunter,HUNTER,COMMON,UNGORO,40,0,240,,,,,,,,,,,
Backstab,6,Rogue,ROGUE,FREE,CORE,0,0,0,,,,,,,,,,,
Sea Giant,6,Shaman,NEUTRAL,EPIC,EXPERT1,400,0,2400,,,,,,,,,,,
Primalfin Totem,6,Shaman,SHAMAN,RARE,UNGORO,100,0,600,,,,,,,,,,,
Vicious Scalehide,6,Shaman,NEUTRAL,COMMON,GILNEAS,40,0,240,,,,,,,,,,,
Vinecleaver,6,Paladin,PALADIN,RARE,UNGORO,100,0,600,,,,,,,,,,,
Baron Geddon,6,Warrior,NEUTRAL,LEGENDARY,EXPERT1,1600,0,9600,,,,,,,,,,,
Elise the Trailblazer,6,Warrior,NEUTRAL,LEGENDARY,UNGORO,1600,0,9600,,,,,,,,,,,
Darius Crowley,6,Warrior,WARRIOR,LEGENDARY,GILNEAS,1600,0,9600,,,,,,,,,,,
Fire Plume Phoenix,6,Druid,NEUTRAL,COMMON,UNGORO,40,0,240,,,,,,,,,,,
Mind Control,6,Priest,PRIEST,FREE,CORE,0,0,0,,,,,,,,,,,
Polymorph,6,Mage,MAGE,FREE,CORE,0,0,0,,,,,,,,,,,
Argent Commander,6,Shaman,NEUTRAL,RARE,EXPERT1,100,0,600,,,,,,,,,,,
Stormforged Axe,6,Shaman,SHAMAN,COMMON,EXPERT1,40,0,240,,,,,,,,,,,
Saronite Chain Gang,6,Shaman,NEUTRAL,RARE,ICECROWN,100,0,600,,,,,,,,,,,
Harrison Jones,6,Warrior,NEUTRAL,LEGENDARY,EXPERT1,1600,0,9600,,,,,,,,,,,
King Mosh,6,Warrior,WARRIOR,LEGENDARY,UNGORO,1600,0,9600,,,,,,,,,,,
Saronite Chain Gang,6,Warlock,NEUTRAL,RARE,ICECROWN,100,0,600,,,,,,,,,,,
Defender of Argus,5,Shaman,NEUTRAL,RARE,EXPERT1,100,0,500,,,,,,,,,,,
Gluttonous Ooze,5,Warrior,NEUTRAL,EPIC,UNGORO,400,0,2000,,,,,,,,,,,
Captain Greenskin,5,Rogue,NEUTRAL,LEGENDARY,EXPERT1,1600,0,8000,,,,,,,,,,,
Spreading Plague,5,Druid,DRUID,RARE,ICECROWN,100,0,500,,,,,,,,,,,
Bittertide Hydra,5,Druid,NEUTRAL,EPIC,UNGORO,400,0,2000,,,,,,,,,,,
Fungalmancer,5,Paladin,NEUTRAL,COMMON,LOOTAPALOOZA,40,0,200,,,,,,,,,,,
Fiery War Axe,5,Warrior,WARRIOR,FREE,CORE,0,0,0,,,,,,,,,,,
Acidic Swamp Ooze,5,Priest,NEUTRAL,FREE,CORE,0,0,0,,,,,,,,,,,
Ironbeak Owl,4,Hunter,NEUTRAL,COMMON,EXPERT1,40,0,160,,,,,,,,,,,
Leper Gnome,4,Hunter,NEUTRAL,COMMON,EXPERT1,40,0,160,,,,,,,,,,,
Blood Razor,4,Warrior,WARRIOR,COMMON,ICECROWN,40,0,160,,,,,,,,,,,
Voidwalker,4,Warlock,WARLOCK,FREE,CORE,0,0,0,,,,,,,,,,,
Glacial Shard,4,Warlock,NEUTRAL,COMMON,UNGORO,40,0,160,,,,,,,,,,,
Meteor,4,Mage,MAGE,EPIC,UNGORO,400,0,1600,,,,,,,,,,,
Dragon's Fury,4,Mage,MAGE,EPIC,LOOTAPALOOZA,400,0,1600,,,,,,,,,,,
Witchwood Piper,4,Mage,NEUTRAL,RARE,GILNEAS,100,0,400,,,,,,,,,,,
Eviscerate,4,Rogue,ROGUE,COMMON,EXPERT1,40,0,160,,,,,,,,,,,
Arcane Tyrant,4,Druid,NEUTRAL,EPIC,LOOTAPALOOZA,400,0,1600,,,,,,,,,,,
Gnomeferatu,4,Warlock,WARLOCK,EPIC,ICECROWN,400,0,1600,,,,,,,,,,,
Glacial Shard,4,Hunter,NEUTRAL,COMMON,UNGORO,40,0,160,,,,,,,,,,,
Dire Mole,4,Hunter,NEUTRAL,COMMON,LOOTAPALOOZA,40,0,160,,,,,,,,,,,
Rhok'delar,4,Hunter,HUNTER,LEGENDARY,LOOTAPALOOZA,1600,0,6400,,,,,,,,,,,
Bring It On!,4,Warrior,WARRIOR,EPIC,ICECROWN,400,0,1600,,,,,,,,,,,
Warpath,4,Warrior,WARRIOR,COMMON,GILNEAS,40,0,160,,,,,,,,,,,
Defender of Argus,4,Warlock,NEUTRAL,RARE,EXPERT1,100,0,400,,,,,,,,,,,
Fire Fly,4,Warlock,NEUTRAL,COMMON,UNGORO,40,0,160,,,,,,,,,,,
Despicable Dreadlord,4,Warlock,WARLOCK,RARE,ICECROWN,100,0,400,,,,,,,,,,,
Acherus Veteran,4,Rogue,NEUTRAL,COMMON,ICECROWN,40,0,160,,,,,,,,,,,
Blizzard,4,Mage,MAGE,RARE,EXPERT1,100,0,400,,,,,,,,,,,
Arcane Artificer,4,Mage,MAGE,COMMON,LOOTAPALOOZA,40,0,160,,,,,,,,,,,
Voodoo Doll,4,Mage,NEUTRAL,EPIC,GILNEAS,400,0,1600,,,,,,,,,,,
Soul of the Forest,4,Druid,DRUID,COMMON,EXPERT1,40,0,160,,,,,,,,,,,
